City,Population,lon,lat
Nairobi,"4, 300, 000",36.8198475311531,-1.2952871483350066
Kisumu,"610, 082",34.74657469430895,-0.10402992528247523
Mombasa,"1, 440, 000",39.66358575335434,-4.041883912902392
Nakuru,"422, 000",36.06412271026528,-0.2754534004690896
Nyeri,"759, 164",36.957036675396154,-0.42345404217887506
Machakos,"1, 422, 000",37.25780808801821,-1.518874011494134
Malindi,"119, 859",40.10521499751357,-3.2138767356491655
